날짜,시간,총 생산지수,광업 및 제조업 생산지수,전기업 및 가스업 생산지수,전력수요,1시간전_수요,전일_동시간_수요,최근7일_평균_수요,hour_sin,hour_cos,요일,주말_유무,휴일_유무,휴일_종류,내국인방문객수,외국인방문객수,기온(°C),강수량(mm),풍속(m/s),습도(%),일사(MJ/m2),전운량(10분위),기온편차(°C)
2024-06-01,00:00:00,107.2,108.4,104.6,654.877,684.304,648.583,624.8656428571428,0.0,1.0,5,1,1,0,37381,5735,17.75,0.0,2.775,80.5,0.0,3,-0.16
2024-06-01,01:00:00,107.2,108.4,104.6,615.135,654.877,602.835,624.8576071428571,0.2588190451025207,0.9659258262890684,5,1,1,0,37381,5735,17.775,0.0,3.675,79.75,0.0,8,-0.16
2024-06-01,02:00:00,107.2,108.4,104.6,580.99,615.135,569.661,624.875625,0.4999999999999999,0.8660254037844387,5,1,1,0,37381,5735,17.625,0.0,2.65,78.5,0.0,6,-0.16
2024-06-01,03:00:00,107.2,108.4,104.6,562.764,580.99,551.24,624.9034285714285,0.7071067811865475,0.7071067811865476,5,1,1,0,37381,5735,17.65,0.0,3.0250000000000004,78.0,0.0,5,-0.16
2024-06-01,04:00:00,107.2,108.4,104.6,547.27,562.764,538.764,624.9555119047619,0.8660254037844386,0.5000000000000001,5,1,1,0,37381,5735,17.6,0.0,3.1750000000000003,80.0,0.0,7,-0.16
2024-06-01,05:00:00,107.2,108.4,104.6,545.871,547.27,539.715,624.9936011904762,0.9659258262890684,0.2588190451025207,5,1,1,0,37381,5735,17.6,0.0,3.425,84.5,0.0,8,-0.16
2024-06-01,06:00:00,107.2,108.4,104.6,549.889,545.871,551.089,625.035005952381,1.0,6.123233995736766e-17,5,1,1,0,37381,5735,17.924999999999997,0.0,2.5,80.25,0.01,8,-0.16
2024-06-01,07:00:00,107.2,108.4,104.6,553.808,549.889,582.095,625.0629523809524,0.9659258262890684,-0.2588190451025206,5,1,1,0,37381,5735,18.825,0.0,3.225,76.5,0.2025,8,-0.16
2024-06-01,08:00:00,107.2,108.4,104.6,559.341,553.808,626.031,625.0573511904762,0.8660254037844387,-0.4999999999999998,5,1,1,0,37381,5735,19.775,0.0,3.2,76.5,0.53,9,-0.16
2024-06-01,09:00:00,107.2,108.4,104.6,594.895,559.341,661.319,625.0750238095237,0.7071067811865476,-0.7071067811865475,5,1,1,0,37381,5735,20.3,0.0,3.9,77.25,0.49,8,-0.16
2024-06-01,10:00:00,107.2,108.4,104.6,610.29,594.895,679.924,625.3015833333333,0.4999999999999999,-0.8660254037844387,5,1,1,0,37381,5735,20.45,0.0,3.875,77.0,0.95,8,-0.16
2024-06-01,11:00:00,107.2,108.4,104.6,562.09,610.29,701.194,625.5739047619047,0.258819045102521,-0.9659258262890682,5,1,1,0,37381,5735,21.15,0.0,4.075,71.25,1.8475,5,-0.16
2024-06-01,12:00:00,107.2,108.4,104.6,547.248,562.09,663.847,625.5558452380952,1.2246467991473532e-16,-1.0,5,1,1,0,37381,5735,21.2,0.0,4.025,67.25,2.315,7,-0.16
2024-06-01,13:00:00,107.2,108.4,104.6,528.646,547.248,640.376,625.5148095238095,-0.2588190451025208,-0.9659258262890684,5,1,1,0,37381,5735,21.775,0.0,4.9,65.75,2.61,3,-0.16
2024-06-01,14:00:00,107.2,108.4,104.6,542.556,528.646,632.525,625.3941607142857,-0.4999999999999997,-0.8660254037844388,5,1,1,0,37381,5735,21.925,0.0,5.225,64.0,2.565,3,-0.16
2024-06-01,15:00:00,107.2,108.4,104.6,553.384,542.556,640.549,625.3376726190477,-0.7071067811865471,-0.7071067811865479,5,1,1,0,37381,5735,22.025,0.0,5.125,62.5,2.23,3,-0.16
2024-06-01,16:00:00,107.2,108.4,104.6,552.761,553.384,630.222,625.3127023809524,-0.8660254037844384,-0.5000000000000004,5,1,1,0,37381,5735,21.8,0.0,5.125,63.25,2.0,1,-0.16
2024-06-01,17:00:00,107.2,108.4,104.6,585.405,552.761,644.292,625.1929285714285,-0.9659258262890684,-0.2588190451025206,5,1,1,0,37381,5735,21.725,0.0,4.9,62.0,1.5275,0,-0.16
2024-06-01,18:00:00,107.2,108.4,104.6,634.827,585.405,680.417,625.0510833333333,-1.0,-1.8369701987210294e-16,5,1,1,0,37381,5735,21.4,0.0,4.375,58.0,0.9625,0,-0.16
2024-06-01,19:00:00,107.2,108.4,104.6,667.37,634.827,692.62,624.9549345238096,-0.9659258262890684,0.2588190451025203,5,1,1,0,37381,5735,20.2,0.0,3.975,60.25,0.395,0,-0.16
2024-06-01,20:00:00,107.2,108.4,104.6,693.281,667.37,709.557,624.8622857142857,-0.8660254037844386,0.5000000000000001,5,1,1,0,37381,5735,19.125,0.0,4.6000000000000005,65.0,0.03,0,-0.16
2024-06-01,21:00:00,107.2,108.4,104.6,702.81,693.281,718.488,624.7802619047619,-0.7071067811865477,0.7071067811865474,5,1,1,0,37381,5735,18.475,0.0,3.925,70.25,0.0,1,-0.16
2024-06-01,22:00:00,107.2,108.4,104.6,686.274,702.81,702.623,624.7260595238095,-0.5000000000000004,0.8660254037844384,5,1,1,0,37381,5735,18.25,0.0,4.7,71.0,0.0,2,-0.16
2024-06-01,23:00:00,107.2,108.4,104.6,670.616,686.274,684.304,624.6847797619048,-0.2588190451025215,0.965925826289068,5,1,1,0,37381,5735,18.2,0.0,4.8,71.25,0.0,5,-0.16
2024-06-02,00:00:00,107.2,108.4,104.6,643.278,670.616,654.877,624.6685892857142,0.0,1.0,6,1,1,0,34581,5946,18.275,0.0,4.7,68.75,0.0,7,0.18
2024-06-02,01:00:00,107.2,108.4,104.6,601.988,643.278,615.135,624.6532678571429,0.2588190451025207,0.9659258262890684,6,1,1,0,34581,5946,17.95,0.0,4.925,70.25,0.0,9,0.18
2024-06-02,02:00:00,107.2,108.4,104.6,565.91,601.988,580.99,624.6361726190476,0.4999999999999999,0.8660254037844387,6,1,1,0,34581,5946,17.825,0.0,4.8500000000000005,70.75,0.0,7,0.18
2024-06-02,03:00:00,107.2,108.4,104.6,552.237,565.91,562.764,624.6156785714286,0.7071067811865475,0.7071067811865476,6,1,1,0,34581,5946,17.85,0.0,4.7250000000000005,70.0,0.0,7,0.18
2024-06-02,04:00:00,107.2,108.4,104.6,539.818,552.237,547.27,624.6173452380951,0.8660254037844386,0.5000000000000001,6,1,1,0,34581,5946,17.65,0.0,4.95,76.5,0.0,6,0.18
2024-06-02,05:00:00,107.2,108.4,104.6,537.073,539.818,545.871,624.6161488095238,0.9659258262890684,0.2588190451025207,6,1,1,0,34581,5946,17.575,0.0,4.0,74.5,0.0,8,0.18
2024-06-02,06:00:00,107.2,108.4,104.6,541.401,537.073,549.889,624.6158214285714,1.0,6.123233995736766e-17,6,1,1,0,34581,5946,17.75,0.0,3.325,71.75,0.005,9,0.18
2024-06-02,07:00:00,107.2,108.4,104.6,546.35,541.401,553.808,624.6506309523809,0.9659258262890684,-0.2588190451025206,6,1,1,0,34581,5946,18.375,0.0,2.775,65.0,0.1475,9,0.18
2024-06-02,08:00:00,107.2,108.4,104.6,547.025,546.35,559.341,624.6538214285714,0.8660254037844387,-0.4999999999999998,6,1,1,0,34581,5946,19.275,0.0,2.925,61.0,0.445,9,0.18
2024-06-02,09:00:00,107.2,108.4,104.6,549.788,547.025,594.895,624.6586904761904,0.7071067811865476,-0.7071067811865475,6,1,1,0,34581,5946,20.175,0.0,3.075,55.5,0.765,9,0.18
2024-06-02,10:00:00,107.2,108.4,104.6,539.982,549.788,610.29,624.6709702380953,0.4999999999999999,-0.8660254037844387,6,1,1,0,34581,5946,21.25,0.0,3.675,52.5,1.26,9,0.18
2024-06-02,11:00:00,107.2,108.4,104.6,527.529,539.982,562.09,624.3683452380952,0.258819045102521,-0.9659258262890682,6,1,1,0,34581,5946,22.675,0.0,3.575,50.75,1.6625,8,0.18
2024-06-02,12:00:00,107.2,108.4,104.6,510.8,527.529,547.248,623.7740297619048,1.2246467991473532e-16,-1.0,6,1,1,0,34581,5946,23.25,0.0,3.875,49.75,2.0175,7,0.18
2024-06-02,13:00:00,107.2,108.4,104.6,524.967,510.8,528.646,623.0658154761904,-0.2588190451025208,-0.9659258262890684,6,1,1,0,34581,5946,23.7,0.0,3.825,48.0,2.2525,7,0.18
2024-06-02,14:00:00,107.2,108.4,104.6,537.309,524.967,542.556,622.2464821428572,-0.4999999999999997,-0.8660254037844388,6,1,1,0,34581,5946,22.925,0.0,4.7,53.5,1.895,8,0.18
2024-06-02,15:00:00,107.2,108.4,104.6,550.975,537.309,553.384,621.4609523809523,-0.7071067811865471,-0.7071067811865479,6,1,1,0,34581,5946,22.95,0.0,3.95,52.5,1.5425,9,0.18
2024-06-02,16:00:00,107.2,108.4,104.6,580.204,550.975,552.761,620.6605476190476,-0.8660254037844384,-0.5000000000000004,6,1,1,0,34581,5946,22.7,0.0,3.825,55.25,1.075,9,0.18
2024-06-02,17:00:00,107.2,108.4,104.6,581.663,580.204,585.405,620.0639880952381,-0.9659258262890684,-0.2588190451025206,6,1,1,0,34581,5946,23.1,0.0,3.45,52.25,1.2,7,0.18
2024-06-02,18:00:00,107.2,108.4,104.6,629.018,581.663,634.827,619.4784226190476,-1.0,-1.8369701987210294e-16,6,1,1,0,34581,5946,22.325,0.0,2.975,55.5,0.76,7,0.18
2024-06-02,19:00:00,107.2,108.4,104.6,658.075,629.018,667.37,619.090244047619,-0.9659258262890684,0.2588190451025203,6,1,1,0,34581,5946,21.275,0.0,2.3,59.5,0.38,4,0.18
2024-06-02,20:00:00,107.2,108.4,104.6,688.035,658.075,693.281,618.7624404761906,-0.8660254037844386,0.5000000000000001,6,1,1,0,34581,5946,19.7,0.0,2.3,64.25,0.0225,6,0.18
2024-06-02,21:00:00,107.2,108.4,104.6,701.892,688.035,702.81,618.5089404761904,-0.7071067811865477,0.7071067811865474,6,1,1,0,34581,5946,19.325,0.0,3.775,63.5,0.0,8,0.18
2024-06-02,22:00:00,107.2,108.4,104.6,681.356,701.892,686.274,618.3799107142856,-0.5000000000000004,0.8660254037844384,6,1,1,0,34581,5946,19.125,0.0,2.575,63.25,0.0,8,0.18
2024-06-02,23:00:00,107.2,108.4,104.6,659.277,681.356,670.616,618.2798511904762,-0.2588190451025215,0.965925826289068,6,1,1,0,34581,5946,19.175,0.0,3.35,62.0,0.0,8,0.18
2024-06-03,00:00:00,107.2,108.4,104.6,626.205,659.277,643.278,618.2135595238096,0.0,1.0,0,0,0,0,37368,3245,19.025,0.0,3.475,62.0,0.0,9,0.691
2024-06-03,01:00:00,107.2,108.4,104.6,582.503,626.205,601.988,618.1673333333334,0.2588190451025207,0.9659258262890684,0,0,0,0,37368,3245,19.4,0.0,3.225,58.25,0.0,9,0.691
2024-06-03,02:00:00,107.2,108.4,104.6,552.952,582.503,565.91,618.1121011904762,0.4999999999999999,0.8660254037844387,0,0,0,0,37368,3245,19.025,0.0,2.75,55.75,0.0,8,0.691
2024-06-03,03:00:00,107.2,108.4,104.6,535.614,552.952,552.237,618.0725119047618,0.7071067811865475,0.7071067811865476,0,0,0,0,37368,3245,19.075,0.0,2.7,55.0,0.0,8,0.691
2024-06-03,04:00:00,107.2,108.4,104.6,524.116,535.614,539.818,618.0455535714285,0.8660254037844386,0.5000000000000001,0,0,0,0,37368,3245,18.975,0.0,1.85,54.0,0.0,9,0.691
2024-06-03,05:00:00,107.2,108.4,104.6,525.23,524.116,537.073,618.0195476190477,0.9659258262890684,0.2588190451025207,0,0,0,0,37368,3245,18.4,0.0,2.225,52.5,0.0,4,0.691
2024-06-03,06:00:00,107.2,108.4,104.6,538.177,525.23,541.401,618.0060892857143,1.0,6.123233995736766e-17,0,0,0,0,37368,3245,18.775,0.0,2.5,49.25,0.015,6,0.691
2024-06-03,07:00:00,107.2,108.4,104.6,552.452,538.177,546.35,618.0376666666666,0.9659258262890684,-0.2588190451025206,0,0,0,0,37368,3245,19.925,0.0,2.075,45.25,0.31,4,0.691
2024-06-03,08:00:00,107.2,108.4,104.6,572.953,552.452,547.025,618.0356845238096,0.8660254037844387,-0.4999999999999998,0,0,0,0,37368,3245,21.55,0.0,2.425,49.75,0.7975000000000001,2,0.691
2024-06-03,09:00:00,107.2,108.4,104.6,595.666,572.953,549.788,617.9830297619047,0.7071067811865476,-0.7071067811865475,0,0,0,0,37368,3245,22.775,0.0,2.2,50.5,1.3625,2,0.691
2024-06-03,10:00:00,107.2,108.4,104.6,604.313,595.666,539.982,617.802125,0.4999999999999999,-0.8660254037844387,0,0,0,0,37368,3245,23.225,0.0,2.825,50.0,1.83,1,0.691
2024-06-03,11:00:00,107.2,108.4,104.6,602.059,604.313,527.529,617.497244047619,0.258819045102521,-0.9659258262890682,0,0,0,0,37368,3245,22.85,0.0,3.2750000000000004,59.5,2.285,0,0.691
2024-06-03,12:00:00,107.2,108.4,104.6,602.181,602.059,510.8,617.27175,1.2246467991473532e-16,-1.0,0,0,0,0,37368,3245,22.85,0.0,3.825,62.5,2.34,4,0.691
2024-06-03,13:00:00,107.2,108.4,104.6,622.456,602.181,524.967,617.2953035714286,-0.2588190451025208,-0.9659258262890684,0,0,0,0,37368,3245,22.925,0.0,4.125,66.5,1.9875,4,0.691
2024-06-03,14:00:00,107.2,108.4,104.6,628.435,622.456,537.309,617.2398392857142,-0.4999999999999997,-0.8660254037844388,0,0,0,0,37368,3245,22.6,0.0,4.35,68.75,1.9275,5,0.691
2024-06-03,15:00:00,107.2,108.4,104.6,640.805,628.435,550.975,617.1668452380952,-0.7071067811865471,-0.7071067811865479,0,0,0,0,37368,3245,23.025,0.0,3.95,66.5,1.99,7,0.691
2024-06-03,16:00:00,107.2,108.4,104.6,655.139,640.805,580.204,616.8935654761905,-0.8660254037844384,-0.5000000000000004,0,0,0,0,37368,3245,22.4,0.0,3.975,68.75,1.4625,6,0.691
2024-06-03,17:00:00,107.2,108.4,104.6,681.356,655.139,581.663,616.6986309523809,-0.9659258262890684,-0.2588190451025206,0,0,0,0,37368,3245,22.0,0.0,3.6,70.75,1.145,6,0.691
2024-06-03,18:00:00,107.2,108.4,104.6,707.03,681.356,629.018,616.6061488095238,-1.0,-1.8369701987210294e-16,0,0,0,0,37368,3245,21.675,0.0,3.05,70.75,0.4925,7,0.691
2024-06-03,19:00:00,107.2,108.4,104.6,715.948,707.03,658.075,616.6235714285714,-0.9659258262890684,0.2588190451025203,0,0,0,0,37368,3245,20.9,0.0,2.85,73.25,0.2299999999999999,6,0.691
2024-06-03,20:00:00,107.2,108.4,104.6,735.984,715.948,688.035,616.6609761904762,-0.8660254037844386,0.5000000000000001,0,0,0,0,37368,3245,20.075,0.0,2.075,77.25,0.025,4,0.691
2024-06-03,21:00:00,107.2,108.4,104.6,732.592,735.984,701.892,616.7291785714285,-0.7071067811865477,0.7071067811865474,0,0,0,0,37368,3245,19.65,0.0,2.2750000000000004,78.5,0.0,4,0.691
